           t              x              v              P              E             dE/E0
    0.000000      -0.499000       0.000000       0.418704       0.418704          0.000000
    0.010000      -0.498893       0.021313       0.418477       0.418704         -0.000000
    0.020000      -0.498574       0.042610       0.417796       0.418704          0.000000
    0.030000      -0.498041       0.063874       0.416664       0.418704          0.000000
    0.040000      -0.497296       0.085091       0.415084       0.418704          0.000000
    0.050000      -0.496340       0.106243       0.413060       0.418704          0.000000
    0.060000      -0.495172       0.127316       0.410599       0.418704          0.000000
    0.070000      -0.493794       0.148293       0.407709       0.418704          0.000000
    0.080000      -0.492206       0.169160       0.404396       0.418704          0.000000
    0.090000      -0.490411       0.189901       0.400673       0.418704          0.000000
    0.100000      -0.488409       0.210501       0.396549       0.418704          0.000000
    0.110000      -0.486201       0.230947       0.392036       0.418704          0.000000
    0.120000      -0.483790       0.251223       0.387147       0.418704          0.000000
    0.130000      -0.481178       0.271317       0.381898       0.418704          0.000000
    0.140000      -0.478365       0.291214       0.376301       0.418704          0.000000
    0.150000      -0.475354       0.310902       0.370374       0.418704          0.000000
    0.160000      -0.472147       0.330368       0.364132       0.418704          0.000000
    0.170000      -0.468747       0.349601       0.357594       0.418704          0.000000
    0.180000      -0.465156       0.368588       0.350775       0.418704          0.000000
    0.190000      -0.461377       0.387319       0.343696       0.418704          0.000000
    0.200000      -0.457411       0.405782       0.336374       0.418704          0.000000
    0.210000      -0.453262       0.423969       0.328829       0.418704          0.000000
    0.220000      -0.448932       0.441870       0.321079       0.418704          0.000000
    0.230000      -0.444425       0.459475       0.313145       0.418704          0.000000
    0.240000      -0.439744       0.476777       0.305046       0.418704          0.000000
    0.250000      -0.434891       0.493767       0.296801       0.418704          0.000000
    0.260000      -0.429870       0.510438       0.288430       0.418704          0.000000
    0.270000      -0.424683       0.526784       0.279953       0.418704          0.000000
    0.280000      -0.419335       0.542799       0.271389       0.418704          0.000000
    0.290000      -0.413828       0.558476       0.262756       0.418704          0.000000
    0.300000      -0.408167       0.573811       0.254074       0.418704          0.000000
    0.310000      -0.402353       0.588800       0.245361       0.418704          0.000000
    0.320000      -0.396392       0.603438       0.236635       0.418704          0.000000
    0.330000      -0.390286       0.617722       0.227913       0.418704          0.000000
    0.340000      -0.384039       0.631650       0.219213       0.418704          0.000000
    0.350000      -0.377654       0.645218       0.210551       0.418704          0.000000
