           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.420839       0.420839          0.000000
    0.010000      -0.499786       0.021391       0.420382       0.420611         -0.000543
    0.020000      -0.499358       0.042766       0.419468       0.420383         -0.001084
    0.030000      -0.498717       0.064109       0.418102       0.420157         -0.001622
    0.040000      -0.497863       0.085403       0.416286       0.419933         -0.002154
    0.050000      -0.496797       0.106633       0.414026       0.419712         -0.002679
    0.060000      -0.495519       0.127782       0.411330       0.419494         -0.003196
    0.070000      -0.494031       0.148836       0.408205       0.419281         -0.003703
    0.080000      -0.492333       0.169778       0.404660       0.419072         -0.004199
    0.090000      -0.490427       0.190594       0.400706       0.418869         -0.004682
    0.100000      -0.488314       0.211268       0.396355       0.418672         -0.005150
    0.110000      -0.485997       0.231787       0.391619       0.418481         -0.005603
    0.120000      -0.483475       0.252135       0.386511       0.418297         -0.006040
    0.130000      -0.480752       0.272299       0.381047       0.418121         -0.006459
    0.140000      -0.477830       0.292266       0.375243       0.417952         -0.006860
    0.150000      -0.474709       0.312022       0.369113       0.417792         -0.007241
    0.160000      -0.471394       0.331556       0.362676       0.417640         -0.007601
    0.170000      -0.467885       0.350854       0.355948       0.417497         -0.007941
    0.180000      -0.464186       0.369905       0.348949       0.417364         -0.008258
    0.190000      -0.460299       0.388698       0.341696       0.417239         -0.008554
    0.200000      -0.456227       0.407223       0.334209       0.417125         -0.008827
    0.210000      -0.451972       0.425469       0.326507       0.417020         -0.009076
    0.220000      -0.447538       0.443428       0.318610       0.416924         -0.009303
    0.230000      -0.442927       0.461089       0.310537       0.416839         -0.009506
    0.240000      -0.438143       0.478445       0.302309       0.416763         -0.009685
    0.250000      -0.433188       0.495488       0.293944       0.416698         -0.009841
    0.260000      -0.428066       0.512210       0.285462       0.416642         -0.009974
    0.270000      -0.422780       0.528605       0.276884       0.416596         -0.010083
    0.280000      -0.417333       0.544666       0.268228       0.416559         -0.010170
    0.290000      -0.411729       0.560389       0.259514       0.416532         -0.010234
    0.300000      -0.405971       0.575768       0.250760       0.416515         -0.010276
    0.310000      -0.400063       0.590798       0.241985       0.416506         -0.010297
    0.320000      -0.394009       0.605476       0.233205       0.416506         -0.010296
    0.330000      -0.387811       0.619799       0.224440       0.416515         -0.010275
    0.340000      -0.381473       0.633763       0.215705       0.416532         -0.010235
    0.350000      -0.374999       0.647366       0.207016       0.416557         -0.010175
    0.360000      -0.368393       0.660606       0.198390       0.416590         -0.010096
    0.370000      -0.361658       0.673482       0.189842       0.416631         -0.010000
    0.380000      -0.354799       0.685993       0.181385       0.416678         -0.009888
    0.390000      -0.347817       0.698138       0.173034       0.416732         -0.009759
    0.400000      -0.340718       0.709918       0.164801       0.416793         -0.009615
    0.410000      -0.333505       0.721334       0.156698       0.416859         -0.009457
    0.420000      -0.326181       0.732385       0.148738       0.416932         -0.009285
    0.430000      -0.318750       0.743073       0.140931       0.417009         -0.009101
    0.440000      -0.311216       0.753399       0.133286       0.417092         -0.008905
    0.450000      -0.303582       0.763367       0.125814       0.417179         -0.008698
    0.460000      -0.295853       0.772977       0.118523       0.417270         -0.008481
    0.470000      -0.288030       0.782233       0.111421       0.417365         -0.008255
    0.480000      -0.280119       0.791137       0.104515       0.417464         -0.008021
    0.490000      -0.272122       0.799693       0.097811       0.417566         -0.007779
    0.500000      -0.264043       0.807905       0.091315       0.417670         -0.007530
    0.510000      -0.255885       0.815775       0.085033       0.417777         -0.007276
    0.520000      -0.247652       0.823307       0.078969       0.417887         -0.007016
    0.530000      -0.239347       0.830507       0.073127       0.417998         -0.006752
    0.540000      -0.230973       0.837378       0.067509       0.418110         -0.006485
    0.550000      -0.222534       0.843925       0.062120       0.418224         -0.006214
    0.560000      -0.214033       0.850152       0.056960       0.418339         -0.005941
    0.570000      -0.205472       0.856064       0.052032       0.418455         -0.005666
    0.580000      -0.196855       0.861667       0.047336       0.418571         -0.005391
    0.590000      -0.188186       0.866965       0.042873       0.418687         -0.005114
    0.600000      -0.179466       0.871964       0.038643       0.418803         -0.004838
    0.610000      -0.170699       0.876668       0.034646       0.418919         -0.004562
    0.620000      -0.161888       0.881084       0.030881       0.419035         -0.004287
    0.630000      -0.153036       0.885216       0.027346       0.419150         -0.004014
    0.640000      -0.144146       0.889070       0.024041       0.419264         -0.003743
    0.650000      -0.135219       0.892652       0.020963       0.419377         -0.003474
    0.660000      -0.126259       0.895967       0.018111       0.419489         -0.003208
    0.670000      -0.117269       0.899021       0.015481       0.419600         -0.002945
    0.680000      -0.108251       0.901819       0.013071       0.419709         -0.002685
    0.690000      -0.099207       0.904367       0.010877       0.419817         -0.002429
    0.700000      -0.090141       0.906670       0.008898       0.419923         -0.002177
    0.710000      -0.081053       0.908735       0.007128       0.420028         -0.001929
    0.720000      -0.071948       0.910566       0.005565       0.420130         -0.001685
    0.730000      -0.062826       0.912169       0.004204       0.420231         -0.001446
    0.740000      -0.053690       0.913550       0.003042       0.420329         -0.001212
    0.750000      -0.044543       0.914714       0.002075       0.420426         -0.000983
    0.760000      -0.035387       0.915667       0.001297       0.420520         -0.000758
    0.770000      -0.026222       0.916413       0.000706       0.420612         -0.000539
    0.780000      -0.017053       0.916958       0.000296       0.420702         -0.000326
    0.790000      -0.007880       0.917308       0.000063       0.420790         -0.000117
    0.800000       0.001295       0.917468       0.000002       0.420875          0.000086
    0.810000       0.010469       0.917442       0.000108       0.420958          0.000283
    0.820000       0.019642       0.917236       0.000378       0.421039          0.000475
    0.830000       0.028810       0.916854       0.000807       0.421118          0.000661
    0.840000       0.037973       0.916303       0.001388       0.421194          0.000842
    0.850000       0.047129       0.915585       0.002119       0.421267          0.001017
    0.860000       0.056276       0.914707       0.002994       0.421339          0.001187
    0.870000       0.065413       0.913672       0.004009       0.421408          0.001351
    0.880000       0.074538       0.912486       0.005159       0.421475          0.001510
    0.890000       0.083649       0.911153       0.006439       0.421539          0.001663
    0.900000       0.092746       0.909677       0.007846       0.421601          0.001811
    0.910000       0.101827       0.908062       0.009373       0.421661          0.001953
    0.920000       0.110890       0.906313       0.011017       0.421719          0.002090
    0.930000       0.119934       0.904434       0.012774       0.421774          0.002222
    0.940000       0.128958       0.902429       0.014638       0.421828          0.002349
    0.950000       0.137961       0.900302       0.016607       0.421879          0.002471
    0.960000       0.146942       0.898057       0.018675       0.421928          0.002587
    0.970000       0.155899       0.895697       0.020838       0.421975          0.002699
    0.980000       0.164831       0.893227       0.023093       0.422020          0.002806
    0.990000       0.173738       0.890650       0.025435       0.422063          0.002908
    1.000000       0.182617       0.887969       0.027860       0.422104          0.003006
    1.010000       0.191469       0.885188       0.030365       0.422143          0.003099
    1.020000       0.200292       0.882310       0.032945       0.422181          0.003188
    1.030000       0.209086       0.879339       0.035598       0.422216          0.003272
    1.040000       0.217849       0.876277       0.038319       0.422250          0.003352
    1.050000       0.226580       0.873128       0.041105       0.422282          0.003428
    1.060000       0.235279       0.869896       0.043953       0.422312          0.003500
    1.070000       0.243945       0.866582       0.046859       0.422341          0.003568
    1.080000       0.252577       0.863189       0.049820       0.422368          0.003632
    1.090000       0.261174       0.859722       0.052832       0.422393          0.003692
    1.100000       0.269736       0.856181       0.055894       0.422417          0.003749
    1.110000       0.278261       0.852571       0.059001       0.422439          0.003802
    1.120000       0.286750       0.848893       0.062151       0.422460          0.003852
    1.130000       0.295202       0.845150       0.065341       0.422480          0.003899
    1.140000       0.303615       0.841344       0.068568       0.422498          0.003942
    1.150000       0.311990       0.837479       0.071830       0.422515          0.003982
    1.160000       0.320325       0.833555       0.075124       0.422531          0.004019
    1.170000       0.328621       0.829576       0.078447       0.422545          0.004054
    1.180000       0.336877       0.825543       0.081798       0.422558          0.004085
    1.190000       0.345091       0.821459       0.085173       0.422570          0.004114
    1.200000       0.353265       0.817325       0.088571       0.422581          0.004139
    1.210000       0.361396       0.813145       0.091989       0.422591          0.004163
    1.220000       0.369485       0.808919       0.095425       0.422600          0.004184
    1.230000       0.377532       0.804649       0.098878       0.422608          0.004202
    1.240000       0.385535       0.800337       0.102345       0.422615          0.004218
    1.250000       0.393495       0.795986       0.105823       0.422620          0.004232
    1.260000       0.401411       0.791596       0.109313       0.422625          0.004244
    1.270000       0.409283       0.787170       0.112811       0.422629          0.004254
    1.280000       0.417110       0.782709       0.116316       0.422633          0.004261
    1.290000       0.424892       0.778214       0.119826       0.422635          0.004267
    1.300000       0.432629       0.773688       0.123340       0.422637          0.004271
    1.310000       0.440320       0.769130       0.126857       0.422638          0.004273
    1.320000       0.447965       0.764544       0.130374       0.422638          0.004273
    1.330000       0.455565       0.759930       0.133890       0.422637          0.004272
    1.340000       0.463118       0.755290       0.137405       0.422636          0.004269
    1.350000       0.470624       0.750624       0.140916       0.422634          0.004265
    1.360000       0.478083       0.745935       0.144422       0.422632          0.004259
