           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.420839       0.420839          0.000000
    0.010000      -0.499893       0.021391       0.420611       0.420839          0.000000
    0.020000      -0.499572       0.042766       0.419925       0.420839          0.000000
    0.030000      -0.499038       0.064109       0.418784       0.420839          0.000000
    0.040000      -0.498290       0.085403       0.417193       0.420839          0.000000
    0.050000      -0.497330       0.106633       0.415154       0.420840          0.000001
    0.060000      -0.496157       0.127782       0.412675       0.420840          0.000001
    0.070000      -0.494774       0.148836       0.409764       0.420840          0.000001
    0.080000      -0.493181       0.169778       0.406427       0.420840          0.000001
    0.090000      -0.491379       0.190594       0.402677       0.420840          0.000001
    0.100000      -0.489369       0.211268       0.398523       0.420840          0.000001
    0.110000      -0.487153       0.231786       0.393977       0.420840          0.000001
    0.120000      -0.484733       0.252134       0.389054       0.420840          0.000001
    0.130000      -0.482111       0.272298       0.383767       0.420840          0.000001
    0.140000      -0.479287       0.292265       0.378130       0.420840          0.000001
    0.150000      -0.476265       0.312021       0.372161       0.420840          0.000001
    0.160000      -0.473047       0.331554       0.365876       0.420840          0.000001
    0.170000      -0.469634       0.350852       0.359291       0.420840          0.000001
    0.180000      -0.466030       0.369903       0.352426       0.420840          0.000001
    0.190000      -0.462236       0.388695       0.345298       0.420840          0.000001
    0.200000      -0.458256       0.407220       0.337926       0.420840          0.000001
    0.210000      -0.454092       0.425466       0.330329       0.420840          0.000001
    0.220000      -0.449747       0.443424       0.322528       0.420840          0.000001
    0.230000      -0.445223       0.461084       0.314540       0.420840          0.000001
    0.240000      -0.440525       0.478440       0.306387       0.420840          0.000001
    0.250000      -0.435655       0.495482       0.298089       0.420840          0.000001
    0.260000      -0.430615       0.512203       0.289664       0.420840          0.000001
    0.270000      -0.425411       0.528598       0.281132       0.420840          0.000001
    0.280000      -0.420044       0.544658       0.272513       0.420840          0.000001
    0.290000      -0.414518       0.560380       0.263826       0.420839          0.000000
    0.300000      -0.408836       0.575758       0.255090       0.420839          0.000000
    0.310000      -0.403002       0.590788       0.246324       0.420839         -0.000000
    0.320000      -0.397020       0.605465       0.237545       0.420839         -0.000000
    0.330000      -0.390893       0.619787       0.228771       0.420839         -0.000001
    0.340000      -0.384625       0.633749       0.220020       0.420839         -0.000001
    0.350000      -0.378218       0.647351       0.211307       0.420839         -0.000001
    0.360000      -0.371678       0.660590       0.202649       0.420839         -0.000002
    0.370000      -0.365006       0.673465       0.194061       0.420838         -0.000002
    0.380000      -0.358208       0.685975       0.185557       0.420838         -0.000002
    0.390000      -0.351287       0.698120       0.177152       0.420838         -0.000003
    0.400000      -0.344246       0.709899       0.168860       0.420838         -0.000003
    0.410000      -0.337089       0.721313       0.160692       0.420838         -0.000004
    0.420000      -0.329820       0.732363       0.152660       0.420838         -0.000004
    0.430000      -0.322442       0.743050       0.144776       0.420837         -0.000004
    0.440000      -0.314959       0.753375       0.137050       0.420837         -0.000005
    0.450000      -0.307374       0.763342       0.129492       0.420837         -0.000005
    0.460000      -0.299692       0.772951       0.122110       0.420837         -0.000006
    0.470000      -0.291915       0.782206       0.114914       0.420837         -0.000006
