           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.631259       0.631259          0.000000
    0.010000      -0.499840       0.032081       0.630744       0.631259         -0.000000
    0.020000      -0.499359       0.064125       0.629203       0.631259          0.000000
    0.030000      -0.498557       0.096097       0.626642       0.631259          0.000000
    0.040000      -0.497437       0.127959       0.623072       0.631259          0.000000
    0.050000      -0.495999       0.159678       0.618510       0.631259          0.000000
    0.060000      -0.494244       0.191216       0.612977       0.631259          0.000000
    0.070000      -0.492175       0.222541       0.606497       0.631259          0.000000
    0.080000      -0.489794       0.253617       0.599098       0.631259          0.000000
    0.090000      -0.487104       0.284413       0.590814       0.631259          0.000000
    0.100000      -0.484107       0.314895       0.581679       0.631259          0.000000
    0.110000      -0.480807       0.345033       0.571735       0.631259          0.000000
    0.120000      -0.477207       0.374797       0.561022       0.631259          0.000000
    0.130000      -0.473312       0.404159       0.549587       0.631259          0.000000
    0.140000      -0.469126       0.433090       0.537475       0.631259          0.000000
    0.150000      -0.464652       0.461565       0.524738       0.631259          0.000000
    0.160000      -0.459896       0.489559       0.511425       0.631259          0.000000
    0.170000      -0.454862       0.517049       0.497589       0.631259          0.000000
    0.180000      -0.449557       0.544013       0.483284       0.631259          0.000000
    0.190000      -0.443984       0.570431       0.468563       0.631259          0.000000
    0.200000      -0.438150       0.596284       0.453482       0.631259          0.000000
    0.210000      -0.432060       0.621555       0.438094       0.631259          0.000000
    0.220000      -0.425721       0.646229       0.422453       0.631259          0.000000
    0.230000      -0.419138       0.670290       0.406614       0.631259          0.000000
    0.240000      -0.412317       0.693728       0.390629       0.631259          0.000000
    0.250000      -0.405265       0.716531       0.374551       0.631259          0.000000
    0.260000      -0.397989       0.738689       0.358428       0.631259          0.000000
    0.270000      -0.390494       0.760195       0.342310       0.631259          0.000000
    0.280000      -0.382787       0.781043       0.326245       0.631259          0.000000
    0.290000      -0.374875       0.801226       0.310278       0.631259          0.000000
    0.300000      -0.366765       0.820741       0.294451       0.631259          0.000000
    0.310000      -0.358462       0.839587       0.278806       0.631259          0.000000
    0.320000      -0.349975       0.857761       0.263382       0.631259          0.000000
    0.330000      -0.341309       0.875264       0.248215       0.631259          0.000000
    0.340000      -0.332472       0.892097       0.233340       0.631259          0.000000
