           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.841679       0.841679          0.000000
    0.010000      -0.499786       0.042772       0.840764       0.841679         -0.000000
    0.020000      -0.499145       0.085478       0.838025       0.841679          0.000000
    0.030000      -0.498077       0.128056       0.833479       0.841679          0.000000
    0.040000      -0.496584       0.170441       0.827154       0.841679          0.000000
    0.050000      -0.494669       0.212569       0.819086       0.841679          0.000000
    0.060000      -0.492334       0.254380       0.809324       0.841679          0.000000
    0.070000      -0.489583       0.295813       0.797926       0.841679          0.000000
    0.080000      -0.486419       0.336809       0.784958       0.841679          0.000000
    0.090000      -0.482848       0.377311       0.770497       0.841679          0.000000
    0.100000      -0.478875       0.417266       0.754623       0.841679          0.000000
    0.110000      -0.474505       0.456620       0.737428       0.841679          0.000000
    0.120000      -0.469745       0.495324       0.719006       0.841679          0.000000
    0.130000      -0.464601       0.533332       0.699457       0.841679          0.000000
    0.140000      -0.459080       0.570599       0.678887       0.841679          0.000000
    0.150000      -0.453191       0.607083       0.657403       0.841679          0.000000
    0.160000      -0.446941       0.642749       0.635116       0.841679          0.000000
    0.170000      -0.440339       0.677559       0.612136       0.841679          0.000000
    0.180000      -0.433393       0.711483       0.588575       0.841679          0.000000
    0.190000      -0.426113       0.744491       0.564545       0.841679          0.000000
    0.200000      -0.418507       0.776560       0.540156       0.841679          0.000000
    0.210000      -0.410585       0.807666       0.515516       0.841679          0.000000
    0.220000      -0.402356       0.837791       0.490732       0.841679          0.000000
    0.230000      -0.393832       0.866918       0.465905       0.841679          0.000000
    0.240000      -0.385021       0.895035       0.441135       0.841679          0.000000
    0.250000      -0.375935       0.922132       0.416515       0.841679          0.000000
    0.260000      -0.366582       0.948202       0.392135       0.841679          0.000000
    0.270000      -0.356974       0.973240       0.368080       0.841679          0.000000
    0.280000      -0.347121       0.997245       0.344430       0.841679          0.000000
    0.290000      -0.337033       1.020217       0.321257       0.841679          0.000000
    0.300000      -0.326720       1.042160       0.298630       0.841679          0.000000
    0.310000      -0.316193       1.063077       0.276612       0.841679          0.000000
    0.320000      -0.305462       1.082978       0.255258       0.841679          0.000000
    0.330000      -0.294537       1.101871       0.234618       0.841679          0.000000
    0.340000      -0.283428       1.119767       0.214739       0.841679          0.000000
    0.350000      -0.272145       1.136679       0.195659       0.841679         -0.000000
    0.360000      -0.260697       1.152621       0.177411       0.841679         -0.000000
    0.370000      -0.249095       1.167608       0.160025       0.841679         -0.000000
    0.380000      -0.237348       1.181657       0.143522       0.841679         -0.000000
    0.390000      -0.225465       1.194785       0.127923       0.841679         -0.000000
    0.400000      -0.213456       1.207012       0.113239       0.841679         -0.000000
    0.410000      -0.201328       1.218357       0.099481       0.841679         -0.000000
    0.420000      -0.189091       1.228841       0.086654       0.841679         -0.000000
    0.430000      -0.176754       1.238483       0.074759       0.841679         -0.000000
    0.440000      -0.164324       1.247305       0.063794       0.841679         -0.000000
    0.450000      -0.151811       1.255329       0.053753       0.841679         -0.000000
    0.460000      -0.139220       1.262578       0.044627       0.841679         -0.000000
    0.470000      -0.126562       1.269072       0.036406       0.841679         -0.000000
    0.480000      -0.113841       1.274835       0.029076       0.841679         -0.000000
    0.490000      -0.101067       1.279889       0.022621       0.841679         -0.000000
    0.500000      -0.088246       1.284255       0.017023       0.841679         -0.000000
    0.510000      -0.075384       1.287957       0.012261       0.841679         -0.000000
    0.520000      -0.062489       1.291017       0.008316       0.841679         -0.000000
    0.530000      -0.049566       1.293456       0.005164       0.841679         -0.000000
    0.540000      -0.036622       1.295296       0.002783       0.841679         -0.000000
    0.550000      -0.023662       1.296558       0.001147       0.841679         -0.000000
    0.560000      -0.010693       1.297264       0.000231       0.841679         -0.000000
    0.570000       0.002281       1.297435       0.000010       0.841679         -0.000000
    0.580000       0.015254       1.297089       0.000458       0.841679         -0.000000
    0.590000       0.028222       1.296248       0.001549       0.841679         -0.000000
    0.600000       0.041178       1.294931       0.003255       0.841679         -0.000000
    0.610000       0.054119       1.293157       0.005550       0.841679         -0.000000
    0.620000       0.067040       1.290945       0.008409       0.841679         -0.000000
    0.630000       0.079936       1.288312       0.011804       0.841679         -0.000000
    0.640000       0.092804       1.285277       0.015710       0.841679         -0.000000
    0.650000       0.105640       1.281856       0.020101       0.841679         -0.000000
    0.660000       0.118440       1.278066       0.024952       0.841679         -0.000000
    0.670000       0.131201       1.273924       0.030237       0.841679         -0.000000
    0.680000       0.143918       1.269444       0.035934       0.841679         -0.000000
    0.690000       0.156588       1.264643       0.042018       0.841679         -0.000000
    0.700000       0.169210       1.259534       0.048465       0.841679         -0.000000
    0.710000       0.181778       1.254133       0.055254       0.841679         -0.000000
    0.720000       0.194291       1.248452       0.062362       0.841679         -0.000000
    0.730000       0.206746       1.242505       0.069769       0.841679         -0.000000
