           t              x              v              P              E             dE/E0
    0.000000      -0.500000       0.000000       0.420839       0.420839          0.000000
    0.010000      -0.499893       0.021389       0.420611       0.420839         -0.000000
    0.020000      -0.499572       0.042761       0.419925       0.420839          0.000000
    0.030000      -0.499038       0.064101       0.418785       0.420839          0.000000
    0.040000      -0.498290       0.085392       0.417193       0.420839          0.000000
    0.050000      -0.497330       0.106619       0.415155       0.420839          0.000000
    0.060000      -0.496158       0.127766       0.412677       0.420839          0.000000
    0.070000      -0.494775       0.148817       0.409766       0.420839          0.000000
    0.080000      -0.493182       0.169757       0.406431       0.420839          0.000000
    0.090000      -0.491381       0.190570       0.402681       0.420839          0.000000
    0.100000      -0.489371       0.211242       0.398528       0.420839          0.000000
    0.110000      -0.487156       0.231758       0.393983       0.420839          0.000000
    0.120000      -0.484737       0.252104       0.389061       0.420839          0.000000
    0.130000      -0.482115       0.272266       0.383775       0.420839          0.000000
    0.140000      -0.479292       0.292231       0.378140       0.420839          0.000000
    0.150000      -0.476271       0.311985       0.372172       0.420839          0.000000
    0.160000      -0.473053       0.331516       0.365888       0.420839          0.000000
    0.170000      -0.469641       0.350812       0.359305       0.420839          0.000000
    0.180000      -0.466038       0.369861       0.352441       0.420839          0.000000
    0.190000      -0.462245       0.388652       0.345314       0.420839          0.000000
    0.200000      -0.458266       0.407175       0.337943       0.420839          0.000000
    0.210000      -0.454102       0.425420       0.330348       0.420839          0.000000
    0.220000      -0.449758       0.443377       0.322548       0.420839          0.000000
    0.230000      -0.445236       0.461036       0.314562       0.420839          0.000000
    0.240000      -0.440538       0.478391       0.306410       0.420839          0.000000
    0.250000      -0.435669       0.495432       0.298113       0.420839          0.000000
    0.260000      -0.430631       0.512153       0.289689       0.420839          0.000000
    0.270000      -0.425427       0.528546       0.281159       0.420839          0.000000
    0.280000      -0.420061       0.544607       0.272541       0.420839          0.000000
    0.290000      -0.414536       0.560329       0.263855       0.420839          0.000000
    0.300000      -0.408856       0.575706       0.255120       0.420839          0.000000
    0.310000      -0.403023       0.590736       0.246355       0.420839          0.000000
    0.320000      -0.397042       0.605413       0.237577       0.420839          0.000000
    0.330000      -0.390916       0.619734       0.228804       0.420839          0.000000
    0.340000      -0.384649       0.633698       0.220053       0.420839          0.000000
    0.350000      -0.378243       0.647300       0.211341       0.420839          0.000000
    0.360000      -0.371704       0.660539       0.202683       0.420839          0.000000
    0.370000      -0.365034       0.673415       0.194095       0.420839          0.000000
    0.380000      -0.358237       0.685926       0.185592       0.420839          0.000000
    0.390000      -0.351316       0.698071       0.177188       0.420839          0.000000
    0.400000      -0.344277       0.709851       0.168895       0.420839          0.000000
    0.410000      -0.337121       0.721266       0.160727       0.420839          0.000000
    0.420000      -0.329852       0.732316       0.152696       0.420839          0.000000
    0.430000      -0.322476       0.743004       0.144812       0.420839          0.000000
    0.440000      -0.314994       0.753331       0.137085       0.420839          0.000000
    0.450000      -0.307410       0.763298       0.129527       0.420839          0.000000
    0.460000      -0.299729       0.772909       0.122145       0.420839          0.000000
    0.470000      -0.291953       0.782165       0.114948       0.420839          0.000000
    0.480000      -0.284087       0.791069       0.107944       0.420839          0.000000
    0.490000      -0.276133       0.799626       0.101139       0.420839          0.000000
    0.500000      -0.268095       0.807837       0.094539       0.420839         -0.000000
    0.510000      -0.259977       0.815707       0.088150       0.420839         -0.000000
    0.520000      -0.251782       0.823240       0.081977       0.420839         -0.000000
    0.530000      -0.243514       0.830441       0.076024       0.420839         -0.000000
    0.540000      -0.235175       0.837312       0.070294       0.420839         -0.000000
    0.550000      -0.226768       0.843859       0.064790       0.420839         -0.000000
    0.560000      -0.218298       0.850087       0.059516       0.420839         -0.000000
    0.570000      -0.209768       0.856000       0.054472       0.420839         -0.000000
    0.580000      -0.201180       0.861603       0.049660       0.420839         -0.000000
    0.590000      -0.192537       0.866901       0.045080       0.420839         -0.000000
    0.600000      -0.183842       0.871901       0.040734       0.420839         -0.000000
    0.610000      -0.175100       0.876606       0.036621       0.420839         -0.000000
    0.620000      -0.166311       0.881022       0.032740       0.420839         -0.000000
    0.630000      -0.157480       0.885155       0.029090       0.420839         -0.000000
    0.640000      -0.148609       0.889010       0.025670       0.420839         -0.000000
